sample,Si,K2O,CaO 1234567
1,69.8107448107448,2.38343847742344,2.25844391840215
2,55.6445601182443,1.11502323908339,7.36224092032928
3,53.229869545659,1.27463207914336,8.06525244158041
4,56.1274982327614,1.31031235542514,7.16245907473032
5,50.3859006490585,0.814389036193548,8.9431806364265
6,51.6200758306021,0.677219744888918,8.00728918628907
7,72.815693078851,2.98145477468786,1.12709669188677
8,53.4981684981685,0.712458663586483,7.862827983777
9,59.9910031488979,1.28903427399668,5.4172082511266
10,48.4541481909903,0.343065594945294,9.03770355517755
11,53.8737870316818,1.11425667064765,7.28454249514245
12,56.9323950902898,0.782797124902388,6.67122532368036
13,71.259559154296,2.72832458546744,1.71327912879265
14,47.1663132189448,0.113002146836734,9.63718697728461
15,47.9712100764732,0.31990593644729,10.0324375832697
16,53.6591478696742,0.551874190971936,7.62202044189103
17,62.3520339309813,1.49661171465683,4.70794408629795
18,69.0058479532164,2.40604063160454,2.36120530351812
19,62.0300751879699,1.59975001328385,4.84913337932372
20,55.9665188612557,1.5971250971251,6.70112937161483
21,59.6690444058865,1.17414192602163,6.0493869745455
22,54.4103849367007,1.20629134162969,7.59115159700583
23,69.4351262772315,2.48655354670392,2.37765013145974
24,52.9615705931495,0.884355827964851,8.37296158369485
25,66.9667759141443,2.30188024172987,3.04281072187476
26,52.210333526123,0.723376456459163,8.4107960531518
27,57.6299723668145,0.760148512028212,6.55912215563493
28,58.381209433841,1.90800344183803,6.14812202430525
29,69.5961056487372,2.40629615441645,2.42525139801664
30,49.6883233725339,0.527204624948986,9.56402434112102
31,71.4205385258017,3.25625794422787,1.77061825773621
32,69.8107448107448,2.52114204369843,2.14070674292365
33,58.3275496433391,1.02438232889361,6.42630903405961
34,57.0397146712936,1.41398492902252,6.9359261547956
35,57.0933744617955,1.5861376162128,6.81515514157367
36,54.7323436797121,0.724468235746431,7.18907198744199
37,58.4348692243429,1.345737108895,5.82736536351734
38,58.4348692243429,1.44901478360125,6.31847304741679
39,70.8839406207827,2.70521138566251,1.94581230295976
40,70.1863633442581,2.67048351258878,2.16447613663123
41,56.6640961377803,1.99906248026549,7.14822600660656
42,55.7518796992481,0.805236673657726,7.01051585631285
43,70.5619818777713,2.79687438709995,2.03007415685273
44,59.2397660818713,1.36903614347223,5.82402973866012
45,56.342137394769,0.839918088038389,7.20445361892028
46,72.3327549643339,3.01567160213777,1.29145937041763
47,71.5815178973074,2.78584044749458,1.59473261152869
48,60.3666216824112,1.19739450190578,5.48457274146483
49,60.2056423109055,1.73666378177656,5.33523345891647
50,60.6885804254225,1.39261393020792,5.52816992573036
51,53.2835293361609,1.11400114783573,8.15131438049364
52,55.3226013752329,0.896853216402089,7.03354307452419
53,57.7909517383202,1.16185360170323,6.58056950701079
54,53.9274468221837,0.861823361823362,7.51593727897138
55,72.279095173832,2.75171653743082,1.44116686602126
56,52.4249726881306,1.02182710077447,8.00947374340239
57,54.249405565195,0.850487440713005,7.9816523927241
58,53.1762097551571,0.654942801559343,7.705180278179
59,53.9811066126856,0.701192430515739,7.37286654619951
60,56.7177559282822,1.35646906699538,6.70357875529616
61,54.5177045177045,0.621097643654035,7.71474755120627
62,70.8839406207827,2.93471732945417,1.92137765859589
63,56.1274982327614,1.01195462849598,6.60393897791109
64,53.4445087076666,0.838663703325358,7.7174926513181
65,71.6351776878093,2.83176486559945,1.67749596198558
66,63.4252297410192,1.85281051446465,4.50478152942329
67,57.0933744617955,1.51728583307531,6.92765892770557
68,50.9224985540775,0.596590683056849,8.28216463008354
69,53.5518282886704,1.3321479411705,7.57220570152761
70,56.9323950902898,1.0467289602628,6.66482172212127
71,61.3861577019472,1.4617676948504,5.15433460699422
72,55.1079622132254,1.390198078168,7.5877776053516
73,59.6690444058865,1.43807376138203,6.07983253628115
74,67.4497140286614,2.58897173558828,2.91871193906925
75,53.6054880791723,0.987912254829549,8.26531128295069
76,50.9224985540775,0.699868357763095,8.41870357268064
77,55.0006426322216,0.988516217839527,7.20008076616423
78,54.9469828417197,0.804888233459662,7.18718808906103
79,56.342137394769,1.00057224869255,6.70031552345355
80,58.8104877578562,1.33442441713118,5.98453086354263
81,50.6005398110661,0.711204278873451,8.14094501499523
82,54.1420859841912,1.22912578927617,7.64164963869704
83,69.9180643917486,2.83102152651025,2.07930828094681
84,47.7565709144657,0.101782372459065,10.2968827507299
85,71.3132189447979,3.00375494736397,1.73013449066757
86,69.220487115224,2.65859008716152,2.554709028218
87,58.5421888053467,0.852345788436014,6.30734619185805
88,60.2056423109055,1.39240486608908,5.80074726628604
